name;rgb_code;code
aliceblue;rgb(240, 248, 255);#F0F8FF
antiquewhite;rgb(250, 235, 215);#FAEBD7
aqua;rgb(0, 255, 255);#00FFFF
aquamarine;rgb(127, 255, 212);#7FFFD4
azure;rgb(240, 255, 255);#F0FFFF
beige;rgb(245, 245, 220);#F5F5DC
bisque;rgb(255, 228, 196);#FFE4C4
black;rgb(0, 0, 0);#000000
blanchedalmond;rgb(255, 235, 205);#FFEBCD
blue;rgb(0, 0, 255);#0000FF
blueviolet;rgb(138, 43, 226);#8A2BE2
brown;rgb(165, 42, 42);#A52A2A
burlywood;rgb(222, 184, 135);#DEB887
cadetblue;rgb(95, 158, 160);#5F9EA0
chartreuse;rgb(127, 255, 0);#7FFF00
chocolate;rgb(210, 105, 30);#D2691E
coral;rgb(255, 127, 80);#FF7F50
cornflowerblue;rgb(100, 149, 237);#6495ED
cornsilk;rgb(255, 248, 220);#FFF8DC
crimson;rgb(220, 20, 60);#DC143C
cyan;rgb(0, 255, 255);#00FFFF
darkblue;rgb(0, 0, 139);#00008B
darkcyan;rgb(0, 139, 139);#008B8B
darkgoldenrod;rgb(184, 134, 11);#B8860B
darkgray;rgb(169, 169, 169);#A9A9A9
darkgreen;rgb(0, 100, 0);#006400
darkgrey;rgb(169, 169, 169);#A9A9A9
darkkhaki;rgb(189, 183, 107);#BDB76B
darkmagenta;rgb(139, 0, 139);#8B008B
darkolivegreen;rgb(85, 107, 47);#556B2F
darkorange;rgb(255, 140, 0);#FF8C00
darkorchid;rgb(153, 50, 204);#9932CC
darkred;rgb(139, 0, 0);#8B0000
darksalmon;rgb(233, 150, 122);#E9967A
darkseagreen;rgb(143, 188, 143);#8FBC8F
darkslateblue;rgb(72, 61, 139);#483D8B
darkslategray;rgb(47, 79, 79);#2F4F4F
darkslategrey;rgb(47, 79, 79);#2F4F4F
darkturquoise;rgb(0, 206, 209);#00CED1
darkviolet;rgb(148, 0, 211);#9400D3
deeppink;rgb(255, 20, 147);#FF1493
deepskyblue;rgb(0, 191, 255);#00BFFF
dimgray;rgb(105, 105, 105);#696969
